State,TotalAirports,TotalRailways,TotalRoadways,TotalWaterways
United States,13513,224792,6586610,41009
Canada,1467,46552,1042300,636
India,346,64600,4689842,14500
Russia,1218,87157,1283387,102000
China,507,86000,4106387,110000
Australia,480,38445,823217,2000
South Africa,566,20192,747014,2800
Japan,175,27182,1210251,1770
New Zealand,123,4128,94160,536
Pakistan,151,7791,262256,4300
Argentina,1138,36966,231374,11000
Germany,539,41981,645000,7467
Brazil,4093,28538,1580964,50000
Mexico,1714,17166,377660,2900
